Trying to bind to IPC: /home/mininet/astraea_ipc/astraea454563
Successfull bind to IPC: /home/mininet/astraea_ipc/astraea454563
2025-05-27 16:55:55.387505: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 AVX512F FMA
2025-05-27 16:55:55.392314: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2899995000 Hz
2025-05-27 16:55:55.393038: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x5646862b09d0 executing computations on platform Host. Devices:
2025-05-27 16:55:55.393191: I tensorflow/compiler/xla/service/service.cc:175]   StreamExecutor device (0): <undefined>, <undefined>
2025-05-27 16:55:55.486287: W tensorflow/compiler/jit/mark_for_compilation_pass.cc:1412] (One-time warning): Not using XLA:CPU for cluster because envvar TF_XLA_FLAGS=--tf_xla_cpu_global_jit was not set.  If you want XLA:CPU, either set that envvar, or use experimental_jit_scope to enable XLA:CPU.  To confirm that XLA is active, pass --vmodule=xla_compilation_cache=1 (as a proper command-line flag, not via TF_XLA_FLAGS) or set the envvar XLA_FLAGS=--xla_hlo_profile.
[2025-05-27 16:55:55,565 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 0, 'avg_urtt': 0, 'cnt': 0, 'cwnd': 10, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 0, 'max_tput': 0, 'min_rtt': 0, 'mss_cache': 1448, 'pacing_rate': 452266, 'packets_out': 0, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 512264, 'thr_cnt': 0, 'time_delta': 64254}
[2025-05-27 16:55:55,617 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 280154, 'avg_urtt': 30860, 'cnt': 5, 'cwnd': 11, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 6, 'max_tput': 280154, 'min_rtt': 30607, 'mss_cache': 1448, 'pacing_rate': 302311, 'packets_out': 6, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 383181, 'thr_cnt': 5, 'time_delta': 51961}
[2025-05-27 16:55:55,625 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 0, 'avg_urtt': 0, 'cnt': 0, 'cwnd': 12, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 8, 'max_tput': 280154, 'min_rtt': 30607, 'mss_cache': 1448, 'pacing_rate': 302311, 'packets_out': 8, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 383181, 'thr_cnt': 0, 'time_delta': 8183}
[2025-05-27 16:55:55,655 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 256505, 'avg_urtt': 30540, 'cnt': 4, 'cwnd': 11, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 7, 'max_tput': 280154, 'min_rtt': 30487, 'mss_cache': 1448, 'pacing_rate': 391217, 'packets_out': 7, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 325711, 'thr_cnt': 4, 'time_delta': 29990}
[2025-05-27 16:55:55,685 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 323049, 'avg_urtt': 30499, 'cnt': 4, 'cwnd': 12, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 11, 'max_tput': 323049, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 476266, 'packets_out': 10, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 291870, 'thr_cnt': 4, 'time_delta': 30000}
[2025-05-27 16:55:55,715 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 390541, 'avg_urtt': 30588, 'cnt': 5, 'cwnd': 13, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 13, 'max_tput': 390541, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 560069, 'packets_out': 11, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 268881, 'thr_cnt': 5, 'time_delta': 29997}
[2025-05-27 16:55:55,745 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 477194, 'avg_urtt': 30487, 'cnt': 6, 'cwnd': 14, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 14, 'max_tput': 477194, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 635697, 'packets_out': 12, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 255115, 'thr_cnt': 6, 'time_delta': 30001}
[2025-05-27 16:55:55,775 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 567213, 'avg_urtt': 30533, 'cnt': 6, 'cwnd': 15, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 14, 'max_tput': 567213, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 697394, 'packets_out': 14, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 249156, 'thr_cnt': 6, 'time_delta': 30006}
[2025-05-27 16:55:55,805 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 637381, 'avg_urtt': 30556, 'cnt': 7, 'cwnd': 16, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 16, 'max_tput': 637381, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 752513, 'packets_out': 16, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 246300, 'thr_cnt': 7, 'time_delta': 30021}
[2025-05-27 16:55:55,835 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 704528, 'avg_urtt': 30514, 'cnt': 7, 'cwnd': 17, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 17, 'max_tput': 704528, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 803853, 'packets_out': 17, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 244980, 'thr_cnt': 7, 'time_delta': 29996}
[2025-05-27 16:55:55,865 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 753982, 'avg_urtt': 30479, 'cnt': 9, 'cwnd': 18, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 18, 'max_tput': 753982, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 854095, 'packets_out': 18, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 244132, 'thr_cnt': 9, 'time_delta': 30001}
